DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Andorra,2016,8.8,e,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Andorra,2018,7.2,e,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Andorra,2019,7.0,e,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Andorra,2022,6.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Andorra,2023,5.5,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2013,12.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2014,12.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2015,11.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2016,11.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2017,10.7,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2018,10.1,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2019,10.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2020,9.9,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2021,9.7,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2022,8.9,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2023,9.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Albania,2024,9.8,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2015,13.9,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2016,13.6,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2017,12.7,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2018,12.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2019,12.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2020,12.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2023,12.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Armenia,2024,11.1,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2013,9.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2014,9.6,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2015,9.8,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2016,10.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2017,10.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2018,9.7,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2019,9.6,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2020,9.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2021,9.6,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2022,9.1,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2023,8.5,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Austria,2024,8.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2013,18.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2014,17.9,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2015,17.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2016,16.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2017,14.6,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2018,14.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2019,14.1,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2020,12.5,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2021,11.1,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2022,12.1,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2023,11.1,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Azerbaijan,2024,10.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2013,8.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2014,7.6,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2016,8.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2017,8.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2018,8.4,p,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2022,7.7,p,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2023,7.3,p,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bosnia and Herzegovina,2024,7.2,p,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2013,11.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2014,11.2,b,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2015,10.8,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2016,10.8,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2017,10.5,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2018,10.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2019,10.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2020,9.9,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2021,10.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2022,9.8,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2023,9.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belgium,2024,9.2,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2013,9.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2014,9.6,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2015,9.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2016,9.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2017,9.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2018,9.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2019,9.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2020,9.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2021,9.0,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2022,8.8,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2023,8.9,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Bulgaria,2024,8.3,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belarus,2014,12.5,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belarus,2015,12.5,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belarus,2016,12.4,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belarus,2017,10.8,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belarus,2018,9.9,,
ESTAT:TPS00204(1.0),17/04/26 23:00:00,Annual,Crude birth rate - per thousand persons,Belarus,2019,9.3,,
