DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Armenia,2015,26.8,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Armenia,2017,26.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Armenia,2018,26.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2013,30.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2014,30.9,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2015,31.2,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2016,31.3,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2017,31.5,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2018,31.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2019,32.0,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Austria,2023,32.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2014,24.4,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2017,23.9,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2018,23.8,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2019,24.0,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belgium,2017,31.2,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belgium,2020,32.0,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belgium,2021,32.2,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belgium,2022,32.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belgium,2023,32.9,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2013,26.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2014,26.9,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2015,27.0,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2016,27.1,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2017,27.3,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2018,27.5,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2019,27.8,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2020,28.1,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2021,28.3,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2022,28.6,b,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2023,28.9,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Bulgaria,2024,29.3,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belarus,2013,24.7,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belarus,2014,24.8,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belarus,2015,24.8,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belarus,2016,24.9,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belarus,2017,24.9,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Belarus,2018,25.1,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Switzerland,2013,30.1,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Switzerland,2014,30.1,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Switzerland,2015,30.2,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Switzerland,2016,30.4,,
ESTAT:DEMO_NIND(1.0),09/04/26 23:00:00,Annual,Mean age at first marriage - females,Switzerland,2017,30.4,,
