DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2013,5.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2014,5.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2015,5.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2016,5.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2017,5.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2018,4.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2019,4.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2020,5.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2021,6.1,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2022,4.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2023,4.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Austria,2024,4.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bosnia and Herzegovina,2021,22.0,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bosnia and Herzegovina,2022,19.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bosnia and Herzegovina,2023,16.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bosnia and Herzegovina,2024,16.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2013,8.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2014,7.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2015,7.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2016,7.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2017,7.1,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2018,5.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2019,4.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2020,5.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2021,5.9,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2022,5.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2023,5.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Belgium,2024,5.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2013,11.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2014,10.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2015,8.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2016,7.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2017,6.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2018,4.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2019,3.8,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2020,4.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2021,4.9,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2022,3.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2023,4.2,,
