country,year,birth_rate,mean_age_first_marriage,hpi_index,hicp_index,gdp_growth,unemp_rate,hpi_growth,hicp_growth,hpi_growth_lag1,hicp_growth_lag1,gdp_growth_lag1,unemp_rate_lag1
Austria,2014,9.6,32.25,94.68,99.4,0.8,5.633333333333333,0.0,0.2218189151038441,0.0,-0.02016129032257341,0.8,5.633333333333333
Austria,2014,9.6,32.25,94.68,98.42,0.8,5.633333333333333,0.0,-0.9859154929577452,0.0,0.2218189151038441,0.8,5.633333333333333
Austria,2014,9.6,32.25,94.68,97.85,0.8,5.633333333333333,0.0,-0.5791505791505891,0.0,-0.9859154929577452,0.8,5.633333333333333
Austria,2014,9.6,32.25,94.68,1.5,0.8,5.633333333333333,0.0,-98.46704138988247,0.0,-0.5791505791505891,0.8,5.633333333333333
Austria,2014,9.6,32.25,94.68,1.8,0.8,5.633333333333333,0.0,19.999999999999996,0.0,-98.46704138988247,0.8,5.633333333333333
Austria,2014,9.6,32.25,94.68,2.0,0.8,5.633333333333333,0.0,11.111111111111116,0.0,19.999999999999996,0.8,5.633333333333333
Austria,2014,9.6,32.25,94.68,2.1,0.8,5.633333333333333,0.0,5.000000000000004,0.0,11.111111111111116,0.8,5.633333333333333
Austria,2014,9.6,32.25,94.68,-0.6,0.8,5.633333333333333,0.0,-128.57142857142856,0.0,5.000000000000004,0.8,5.633333333333333
Austria,2015,9.8,32.55,100.0,100.0,1.3,5.7,5.61892691170256,-16766.666666666668,0.0,-128.57142857142856,0.8,5.633333333333333
Austria,2015,9.8,32.55,100.0,100.0,1.3,5.7,0.0,0.0,5.61892691170256,-16766.666666666668,1.3,5.7
Austria,2015,9.8,32.55,100.0,100.0,1.3,5.7,0.0,0.0,0.0,0.0,1.3,5.7
Austria,2015,9.8,32.55,100.0,100.0,1.3,5.7,0.0,0.0,0.0,0.0,1.3,5.7
Austria,2015,9.8,32.55,100.0,100.0,1.3,5.7,0.0,0.0,0.0,0.0,1.3,5.7
