country,year,birth_rate,birth_rate_change,mean_age_first_marriage,marriage_age_change,hpi_index,hicp_index,hpi_growth,hicp_growth,gdp_growth,unemp_rate,hpi_growth_lag1,hicp_growth_lag1,gdp_growth_lag1,unemp_rate_lag1,birth_rate_lag1,birth_rate_lag2,mean_age_first_marriage_lag1,mean_age_first_marriage_lag2,hpi_growth_roll3_mean,hicp_growth_roll3_mean,gdp_growth_roll3_mean,unemp_rate_roll3_mean,marriage_rate,marriage_rate_lag1,marriage_rate_lag2,marriage_rate_roll3_mean,hpi_growth_lag2,hicp_growth_lag2,gdp_growth_lag2,unemp_rate_lag2
Austria,2017,10.0,0.0,32.85,0.2000000000000028,112.14,103.22,5.088557773404556,2.22838466871349,2.3,5.466666666666666,6.709999999999994,0.9700000000000042,2.1,6.033333333333334,10.0,,32.65,,5.899278886702275,1.5991923343567471,2.2,5.75,5.1,,,,,,,
Austria,2018,9.7,-0.3000000000000007,33.0,0.1499999999999985,118.83,105.41,5.965757089352586,2.121681844603751,2.5,4.866666666666667,5.088557773404556,2.22838466871349,2.3,5.466666666666666,10.0,10.0,32.85,32.65,5.921438287585712,1.773355504439082,2.3000000000000003,5.455555555555556,5.3,5.1,,5.199999999999999,,,,
Austria,2019,9.6,-0.0999999999999996,33.35,0.3500000000000014,125.97,106.98,6.008583690987135,1.4894222559529435,1.8,4.5,5.965757089352586,2.121681844603751,2.5,4.866666666666667,9.7,10.0,33.0,32.85,5.687632851248092,1.946496256423395,2.2,4.944444444444444,5.2,5.3,5.1,5.2,5.088557773404556,2.22838466871349,2.3,5.466666666666666
Austria,2023,8.5,-1.0999999999999996,34.0,0.6499999999999986,163.68,130.4,29.935698975946657,21.89194241914376,-0.8,5.1000000000000005,6.008583690987135,1.4894222559529435,1.8,4.5,9.6,9.7,33.35,33.0,13.97001325209546,8.501015506566818,1.1666666666666667,4.822222222222223,5.0,5.2,5.3,5.166666666666667,5.965757089352586,2.121681844603751,2.5,4.866666666666667
Belgium,2022,9.8,-0.3999999999999986,33.85,0.5,132.93,123.26,5.533502699269621,10.339271327544552,4.0,5.566666666666666,6.6644085019899935,3.2153746650651405,6.3,6.266666666666667,10.2,,33.35,,6.098955600629807,6.7773229963048465,5.15,5.916666666666666,4.2,,,,,,,
Belgium,2023,9.4,-0.4000000000000003,34.05,0.1999999999999957,136.05,126.07,2.3470999774317436,2.2797338958299385,1.7,5.533333333333334,5.533502699269621,10.339271327544552,4.0,5.566666666666666,9.8,10.2,33.85,33.35,4.848337059563786,5.278126629479877,4.0,5.788888888888889,4.0,4.2,,4.1,,,,
Bulgaria,2017,9.4,0.0,28.950000000000003,0.1500000000000021,116.3,99.85,8.671276396935145,1.1856505877583912,2.7,6.2,7.020000000000004,-1.3199999999999878,3.0,7.566666666666666,9.4,,28.8,,7.845638198467574,-0.0671747061207983,2.85,6.883333333333333,4.0,,,,,,,
Bulgaria,2018,9.3,-0.0999999999999996,29.15,0.1999999999999957,123.96,102.48,6.586414445399824,2.6339509263895833,2.3,5.2,8.671276396935145,1.1856505877583912,2.7,6.2,9.4,9.4,28.950000000000003,28.8,7.425896947444991,0.8332005047159955,2.6666666666666665,6.322222222222223,4.1,4.0,,4.05,,,,
Bulgaria,2019,9.3,0.0,29.4,0.25,131.42,104.99,6.018070345272664,2.449258391881326,3.8,4.166666666666667,6.586414445399824,2.6339509263895833,2.3,5.2,9.3,9.4,29.15,28.950000000000003,7.09192039586921,2.0896199686764336,2.9333333333333336,5.188888888888889,4.2,4.1,4.0,4.1000000000000005,8.671276396935145,1.1856505877583912,2.7,6.2
Bulgaria,2020,9.0,-0.3000000000000007,29.65,0.25,137.41,106.27,4.557905950388075,1.219163729879047,-3.1,5.033333333333334,6.018070345272664,2.449258391881326,3.8,4.166666666666667,9.3,9.3,29.4,29.15,5.720796913686854,2.1007910160499854,1.0,4.800000000000001,3.2,4.2,4.1,3.8333333333333335,6.586414445399824,2.6339509263895833,2.3,5.2
Bulgaria,2021,9.0,0.0,29.85,0.2000000000000028,149.33,109.3,8.674768939669608,2.8512280041403937,7.8,5.166666666666667,4.557905950388075,1.219163729879047,-3.1,5.033333333333334,9.0,9.3,29.65,29.4,6.4169150784434486,2.1732167086335887,2.8333333333333335,4.788888888888889,3.9,3.2,4.2,3.766666666666667,6.018070345272664,2.449258391881326,3.8,4.166666666666667
Bulgaria,2022,8.8,-0.1999999999999993,30.05,0.1999999999999993,169.92,123.52,13.7882542021027,13.010064043915824,4.1,4.133333333333334,8.674768939669608,2.8512280041403937,7.8,5.166666666666667,9.0,9.0,29.85,29.65,9.006976364053461,5.693485259311754,2.933333333333333,4.777777777777778,3.9,3.9,3.2,3.6666666666666665,4.557905950388075,1.219163729879047,-3.1,5.033333333333334
Bulgaria,2023,8.9,0.0999999999999996,30.35,0.3000000000000007,186.67,134.15,9.857580037664793,8.605893782383433,1.7,4.3,13.7882542021027,13.010064043915824,4.1,4.133333333333334,8.8,9.0,30.05,29.85,10.7735343931457,8.155728610146552,4.533333333333332,4.533333333333334,3.4,3.9,3.9,3.733333333333333,8.674768939669608,2.8512280041403937,7.8,5.166666666666667
Bulgaria,2024,8.3,-0.5999999999999996,30.700000000000003,0.3500000000000014,217.47,137.63,16.49970536240426,2.5941110696980907,3.4,4.166666666666667,9.857580037664793,8.605893782383433,1.7,4.3,8.9,8.8,30.35,30.05,13.381846534057251,8.070022965332448,3.0666666666666664,4.2,3.2,3.4,3.9,3.5,13.7882542021027,13.010064043915824,4.1,4.133333333333334
Croatia,2017,9.0,-0.0999999999999996,29.6,0.2000000000000028,104.75,100.67,3.825949053424526,1.3082419241219556,3.3,11.133333333333333,0.8899999999999908,-0.6299999999999972,3.5,13.033333333333331,9.1,,29.4,,2.3579745267122583,0.3391209620609792,3.4,12.083333333333332,4.9,,,,,,,
Croatia,2018,9.3,0.3000000000000007,29.65,0.0499999999999971,111.14,102.23,6.100238663484481,1.5496175623323838,2.9,8.366666666666667,3.825949053424526,1.3082419241219556,3.3,11.133333333333333,9.0,9.1,29.6,29.4,3.605395905636332,0.7426198288181141,3.233333333333333,10.844444444444443,4.9,4.9,,4.9,,,,
Croatia,2019,9.1,-0.200000000000001,29.8,0.1500000000000021,121.1,103.04,8.961669965808895,0.7923310182920806,3.1,6.599999999999999,6.100238663484481,1.5496175623323838,2.9,8.366666666666667,9.3,9.0,29.65,29.6,6.295952560905967,1.2167301682488068,3.1,8.7,4.9,4.9,4.9,4.9,3.825949053424526,1.3082419241219556,3.3,11.133333333333333
Croatia,2020,9.2,0.0999999999999996,30.0,0.1999999999999993,130.38,103.06,7.663088356729975,0.019409937888204,-8.3,7.4,8.961669965808895,0.7923310182920806,3.1,6.599999999999999,9.1,9.3,29.8,29.65,7.574998995341116,0.7871195061708894,-0.7666666666666666,7.455555555555556,3.8,4.9,4.9,4.533333333333334,6.100238663484481,1.5496175623323838,2.9,8.366666666666667
Croatia,2021,9.4,0.200000000000001,30.05,0.0500000000000007,139.91,105.82,7.309403282712079,2.6780516204152782,12.6,7.533333333333334,7.663088356729975,0.019409937888204,-8.3,7.4,9.2,9.1,30.0,29.8,7.978053868416982,1.163264192198521,2.466666666666667,7.177777777777777,4.6,3.8,4.9,4.433333333333334,8.961669965808895,0.7923310182920806,3.1,6.599999999999999
Croatia,2022,8.8,-0.5999999999999996,30.15,0.0999999999999978,160.69,117.11,14.852405117575596,10.66906066906068,7.3,6.866666666666667,7.309403282712079,2.6780516204152782,12.6,7.533333333333334,9.4,9.2,30.05,30.0,9.941632252339216,4.455507409121387,3.8666666666666663,7.266666666666668,4.7,4.6,3.8,4.366666666666666,7.663088356729975,0.019409937888204,-8.3,7.4
Croatia,2023,8.3,-0.5,30.5,0.3500000000000014,179.88,126.94,11.942249050967702,8.393817778157286,3.8,6.166666666666667,14.852405117575596,10.66906066906068,7.3,6.866666666666667,8.8,9.4,30.15,30.05,11.368019150418457,7.246976689211081,7.9,6.855555555555555,4.5,4.7,4.6,4.6000000000000005,7.309403282712079,2.6780516204152782,12.6,7.533333333333334
Croatia,2024,8.3,0.0,30.5,0.0,198.54,132.04,10.373582388258829,4.017646132030883,3.8,5.0,11.942249050967702,8.393817778157286,3.8,6.166666666666667,8.3,8.8,30.5,30.15,12.38941218560071,7.693508193082951,4.966666666666667,6.011111111111112,4.4,4.5,4.7,4.533333333333333,14.852405117575596,10.66906066906068,7.3,6.866666666666667
Estonia,2017,10.5,-0.1999999999999993,31.25,0.2999999999999971,110.51,104.48,5.498806682577562,3.65079365079366,5.6,5.766666666666667,4.75000000000001,0.8000000000000007,3.1,6.8999999999999995,10.7,,30.950000000000003,,5.124403341288786,2.2253968253968304,4.35,6.333333333333333,4.9,,,,,,,
Estonia,2018,10.9,0.4000000000000003,31.35,0.1000000000000014,117.07,108.05,5.936114378789248,3.416921898928016,3.7,5.433333333333334,5.498806682577562,3.65079365079366,5.6,5.766666666666667,10.5,10.7,31.25,30.950000000000003,5.394973687122273,2.6225718499072257,4.133333333333333,6.033333333333334,5.0,4.9,,4.95,,,,
Estonia,2020,9.9,-1.0,31.95,0.5999999999999979,132.79,109.8,13.427863671307772,1.6196205460434987,-2.9,6.966666666666666,5.936114378789248,3.416921898928016,3.7,5.433333333333334,10.9,10.5,31.35,31.25,8.287594910891526,2.895778698588392,2.1333333333333333,6.055555555555556,4.6,5.0,4.9,4.833333333333333,5.498806682577562,3.65079365079366,5.6,5.766666666666667
